"ca:W Validate application ate abort,d:Update(OCancelledFlag)_M,r:Clerk,r_e:missing,u:missing,dev:MMdm"
"ca:W Call after offers ate abort,d:Update(OCancelledFlag)_M,r:Clerk,r_e:missing,u:missing,dev:MMdm"
"ca:A Accepted,d:Read(address)_O,r:Clerk,r_e:missing,u:missing,dev:MMdo"
"a:W Complete application start_C,d:*NA,r:Clerk,r_e:missing,u:missing,dev:MMa"
"a:W Complete application start_S,d:*NA,r:Clerk,r_e:missing,u:missing,dev:MMa"
"ca:*NA,DLd:Update(OReturnedFlag),r:*NA,r_e:Clerk,u:User_116,dev:DL"
"PLa:W Call incomplete files complete_S,d:*NA,r:*NA,r_e:Clerk,u:User_2,dev:PL"
"ca:*NA,DLd:Read(address- email),r:*NA,r_e:Clerk,u:User_8,dev:DL"
"ca:W Validate application ate abort,d:Update(OCancelledFlag)_M,r:Clerk,r_e:missing,u:missing,dev:MMdm"
"ca:*NA,DLd:Read(offID),r:*NA,r_e:Clerk,u:User_8,dev:DL"
"ca:*NA,DLd:Update(OReturnedFlag),r:*NA,r_e:Clerk,u:User_113,dev:DL"
"PLa:W Call incomplete files complete_C,d:*NA,r:*NA,r_e:Clerk,u:User_2,dev:PL"
"ca:W Call after offers ate abort,d:Update(OCancelledFlag)_M,r:Clerk,r_e:missing,u:missing,dev:MMdm"
"a:W Call incomplete files ate abort_C,d:*NA,r:Clerk,r_e:missing,u:missing,dev:MMa"
"ca:A Accepted,d:Read(address- email)_M,r:Clerk,r_e:missing,u:missing,dev:MMdm"
"a:W Call incomplete files ate abort_S,d:*NA,r:Clerk,r_e:missing,u:missing,dev:MMa"
"ca:A Accepted,d:Read(offID)_M,r:Clerk,r_e:missing,u:missing,dev:MMdm"
"ca:*NA,DLd:Create(offID),r:*NA,r_e:Clerk,u:User_8,dev:DL"
"ca:A Accepted,d:Read(address)_O,r:Clerk,r_e:missing,u:missing,dev:MMdo"
"ca:A Accepted,d:Create(offID)_M,r:Clerk,r_e:missing,u:missing,dev:MMdm"
"ca:A Create Application,d:Create(appID)_M,r:Clerk,r_e:missing,u:missing,dev:MMdm"
"ca:A Create Application,d:Create(appID)_M,r:Clerk,r_e:missing,u:missing,dev:MMdm"
"ca:W Call after offers ate abort,d:Update(OCancelledFlag)_M,r:Clerk,r_e:missing,u:missing,dev:MMdm"
"ca:A Accepted,d:Read(address)_O,r:Clerk,r_e:missing,u:missing,dev:MMdo"
"ca:*NA,DLd:Update(ORefusedFlag),r:*NA,r_e:Clerk,u:User_99,dev:DL"
"ca:*NA,DLd:Update(OReturnedFlag),r:*NA,r_e:Clerk,u:User_117,dev:DL"
"ca:*NA,DLd:Read(address- email),r:*NA,r_e:Clerk,u:User_3,dev:DL"
"ca:*NA,DLd:Read(offID),r:*NA,r_e:Clerk,u:User_3,dev:DL"
"ca:*NA,DLd:Create(offID),r:*NA,r_e:Clerk,u:User_3,dev:DL"
"ca:W Call after offers ate abort,d:Update(OCancelledFlag)_M,r:Clerk,r_e:missing,u:missing,dev:MMdm"
"ca:A Accepted,d:Read(address)_O,r:Clerk,r_e:missing,u:missing,dev:MMdo"
"a:W Call incomplete files ate abort_C,d:*NA,r:Clerk,r_e:missing,u:missing,dev:MMa"
"ca:W Validate application ate abort,d:Update(OCancelledFlag)_M,r:Clerk,r_e:missing,u:missing,dev:MMdm"
"ca:*NA,DLd:Update(OReturnedFlag),r:*NA,r_e:Clerk,u:User_113,dev:DL"
"PLa:W Call incomplete files complete_C,d:*NA,r:*NA,r_e:Clerk,u:User_35,dev:PL"
"a:W Call incomplete files ate abort_S,d:*NA,r:Clerk,r_e:missing,u:missing,dev:MMa"
"ca:W Validate application ate abort,d:Update(OCancelledFlag)_M,r:Clerk,r_e:missing,u:missing,dev:MMdm"
"PLa:W Call incomplete files complete_S,d:*NA,r:*NA,r_e:Clerk,u:User_35,dev:PL"
"ca:W Call after offers ate abort,d:Update(OCancelledFlag)_M,r:Clerk,r_e:missing,u:missing,dev:MMdm"
"ca:*NA,DLd:Update(OReturnedFlag),r:*NA,r_e:Clerk,u:User_113,dev:DL"
"ca:A Accepted,d:Read(address)_O,r:Clerk,r_e:missing,u:missing,dev:MMdo"
"ca:A Accepted,d:Read(address)_O,r:Clerk,r_e:missing,u:missing,dev:MMdo"
"ca:W Call after offers ate abort,d:Update(OCancelledFlag)_M,r:Clerk,r_e:missing,u:missing,dev:MMdm"
"ca:*NA,DLd:Update(ORefusedFlag),r:*NA,r_e:Clerk,u:User_47,dev:DL"
"ca:*NA,DLd:Update(OCancelledFlag),r:*NA,r_e:Clerk,u:User_1,dev:DL"
"a:W Validate application start_C,d:*NA,r:Clerk,r_e:missing,u:missing,dev:MMa"
"a:W Validate application complete_C,d:*NA,r:Clerk,r_e:missing,u:missing,dev:MMa"
"a:W Validate application complete_S,d:*NA,r:Clerk,r_e:missing,u:missing,dev:MMa"
"ca:A Accepted,d:Read(address)_O,r:Clerk,r_e:missing,u:missing,dev:MMdo"
"ca:W Call after offers ate abort,d:Update(OCancelledFlag)_M,r:Clerk,r_e:missing,u:missing,dev:MMdm"
"ca:A Cancelled,d:Update(OCancelledFlag)_M,r:Clerk,r_e:missing,u:missing,dev:MMdm"
"ca:A Accepted,d:Read(address)_O,r:Clerk,r_e:missing,u:missing,dev:MMdo"
"ca:A Cancelled,d:Update(OCancelledFlag)_M,r:Clerk,r_e:missing,u:missing,dev:MMdm"
"ca:W Call after offers ate abort,d:Update(OCancelledFlag)_M,r:Clerk,r_e:missing,u:missing,dev:MMdm"
"ca:A Accepted,d:Read(address)_O,r:Clerk,r_e:missing,u:missing,dev:MMdo"
"ca:W Call after offers ate abort,d:Update(OCancelledFlag)_M,r:Clerk,r_e:missing,u:missing,dev:MMdm"
"ca:A Accepted,d:Read(address)_O,r:Clerk,r_e:missing,u:missing,dev:MMdo"
"ca:*NA,DLd:Update(OCancelledFlag),r:*NA,r_e:Clerk,u:User_1,dev:DL"
"ca:*NA,DLd:Update(OReturnedFlag),r:*NA,r_e:Clerk,u:User_120,dev:DL"
"ca:A Cancelled,d:Update(OCancelledFlag)_M,r:Clerk,r_e:missing,u:missing,dev:MMdm"
"ca:W Call after offers ate abort,d:Update(OCancelledFlag)_M,r:Clerk,r_e:missing,u:missing,dev:MMdm"
"ca:*NA,DLd:Update(OCancelledFlag),r:*NA,r_e:Clerk,u:User_1,dev:DL"
"a:W Call incomplete files ate abort_S,d:*NA,r:Clerk,r_e:missing,u:missing,dev:MMa"
"ca:*NA,DLd:Update(OReturnedFlag),r:*NA,r_e:Clerk,u:User_95,dev:DL"
"ca:W Call after offers ate abort,d:Update(OCancelledFlag)_M,r:Clerk,r_e:missing,u:missing,dev:MMdm"
"ca:A Accepted,d:Read(address)_O,r:Clerk,r_e:missing,u:missing,dev:MMdo"
"ca:*NA,DLd:Update(OCancelledFlag),r:*NA,r_e:Clerk,u:User_95,dev:DL"
"ca:W Validate application ate abort,d:Update(OCancelledFlag)_M,r:Clerk,r_e:missing,u:missing,dev:MMdm"
"a:W Call incomplete files ate abort_C,d:*NA,r:Clerk,r_e:missing,u:missing,dev:MMa"
"ca:*NA,DLd:Update(OReturnedFlag),r:*NA,r_e:Clerk,u:User_113,dev:DL"
"a:W Validate application complete_S,d:*NA,r:Clerk,r_e:missing,u:missing,dev:MMa"
"a:W Validate application complete_C,d:*NA,r:Clerk,r_e:missing,u:missing,dev:MMa"
"ca:*NA,DLd:Update(OCancelledFlag),r:*NA,r_e:Clerk,u:User_118,dev:DL"
"ca:*NA,DLd:Update(OCancelledFlag),r:*NA,r_e:Clerk,u:User_118,dev:DL"
"ca:W Validate application start,d:Update(AValidatedFlag)_M,r:Clerk,r_e:missing,u:missing,dev:MMdm"
"a:W Validate application start_C,d:*NA,r:Clerk,r_e:missing,u:missing,dev:MMa"
"ca:*NA,DLd:Update(OCancelledFlag),r:*NA,r_e:Clerk,u:User_118,dev:DL"
"ca:A Accepted,d:Read(address)_O,r:Clerk,r_e:missing,u:missing,dev:MMdo"
"ca:A Create Application,d:Create(appID)_M,r:Clerk,r_e:missing,u:missing,dev:MMdm"
"ca:*NA,DLd:Update(OCancelledFlag),r:*NA,r_e:Clerk,u:User_1,dev:DL"
"ca:W Call after offers ate abort,d:Update(OCancelledFlag)_M,r:Clerk,r_e:missing,u:missing,dev:MMdm"
"ca:A Cancelled,d:Update(OCancelledFlag)_M,r:Clerk,r_e:missing,u:missing,dev:MMdm"
